Company Name for Emails,# Employees,Industry,Company City,Keywords,Company Phone,Technologies, Annual Revenue ,Short Description,Founded Year,Company Size,Lead_Age,Revenue_Per_Employee
PLATINUM SHIPPING & LOGISTICS L.L.C,19,logistics & supply chain,Dubai,"import, export air, sea, land, warehousing, logistics, customs clearance at all uae ports, project handling, marine insurance, industrial packing, removals",'+971 4 335 2970,"Blue Host, Google Cloud Hosting, WordPress.org, Google Font API, reCAPTCHA, Shutterstock, Mobile Friendly, Basis, Remote",4092000.0,"PLATINUM SHIPPING & LOGISTICS LLC is one of the leading freight forwarding Agency in the region offering full range of logistics business with the strong background and experience in the industry since 1994. PSL is fully geared up with the modern and professional approach to management techniques and excellent facility.

PSL has its own multinational network of carefully chosen agents worldwide, which ensure that all clients can avail of any kind of freight forwarding to and fro across the globe. 
	IMPORT/EXPORT – AIR, SEA & LAND
	WAREHOUSING & LOGISTICS
	CUSTOMS CLEARANCE AT ALL UAE PORTS
	INDUSTRIAL PACKING & REMOVALS
	TRANSPORTATION UAE & GCC COUNTRIES
	PROJECT HANDLING  & MARINE INSURANCE
	More about PSL  visit www.platinum-shipping.com",1994.0,Small,30.0,215368.42105263157
Abjad Design,15,design,Dubai,"logo, branding, publishing, packaging, illustration, websites, timebased, environmental graphics, product design, invitation design, arabic calligraphy & typography",'+971 4 282 3999,"Outlook, Nginx, Hubspot, Google Maps, Google Font API, Mobile Friendly, Google Maps (Non Paid Users), Cloudinary, reCAPTCHA, Google Tag Manager, Vimeo, Basis",3806000.0,"Abjad Design is a multidisciplinary design studio based in Dubai. We at Abjad focus on producing creative, conceptual and communicative design solutions. Paying attention to craft, detail, simplicity and functionality in design is part of our practice. Our work is mostly produced for clients in the arts, culture and fashion industries, as well as companies, be they start-ups, governmental or private.",2010.0,Small,14.0,253733.33333333334
VAM,99,information technology & services,Dubai,"cloud computing, amazon web services, mobile development, ios application development, android application development, security solutions premises security, information asset security, big data solutions, digital marketing solutions",'+1 888-438-8260,"Outlook, GoDaddy Hosting, Hubspot, Data Analytics, React Native, Android, , Node.js, Basis, Python, , Flutter, Remote, AI",4420000.0,"VAM Systems is a Business Consulting,  Technology Solutions and Professional Services organization  working with major organizations in USA, UAE, Bahrain, India, Singapore and Australia.

Delivers leading edge information and communication  technology based business solutions to enable our clients to continuously stay ahead and achieve sustainable profit and consistent growth by leveraging new channels of customer engagement and service delivery as well as better and efficient employment of resources and processes with measurable parameters for performance. While our local presence assists us in better understanding of the local needs, our global presence assist us to offer solutions strengthened by experience in leading markets globally.",2005.0,Medium,19.0,44646.46464646464
Ras Al Khaimah Chamber of Commerce and Industry,32,government administration,,,'+971 7 226 0112,"Outlook, Microsoft Office 365, YouTube, Mobile Friendly, Google Analytics, reCAPTCHA, Google Tag Manager, Nginx, Remote, SAP, Paytm, AI",2563000.0,"Ras Al Khaimah Chamber of Commerce and Industry (RAKCCI), is one of the oldest chambers in UAE. It has been established in 1967 to cater to the needs of Ras AL Khaimah business community. RAKCCI has witnessed major developments in the last few years; as a sequel to the support of the visionary and able leadership. 
 Chamber objectives
Ras Al Khaimah Chamber of Commerce and Industry effectively links the public and the private sectors, and harmonically coordinates all concerns; to enable business smooth functioning and attaining set goals.",2013.0,Small,11.0,80093.75
Tambi Studios,10,media production,,,,,1275000.0,State of the Art Film Production House.,2013.0,Small,11.0,127500.0
Asas Capital,63,financial services,Dubai,"asset management, private equity, advisory services",'+971 4 346 4700,"Cloudflare DNS, Outlook, Google Cloud Hosting, Amazon AWS, Shutterstock, Google Font API, Nginx, Google Tag Manager, WordPress.org, Bootstrap Framework, Mobile Friendly, AI, Android, SharePoint",2200000.0,"Asas Capital Ltd is a Dubai Financial Services Authority (DFSA) regulated entity and registered under the Dubai International Financial Centre (DIFC) since 2009. 

Our aim is to build the most dynamic, reputable and high performing Asset Management Company in the GCC. 

Asas Capital is managed by a team of experienced professionals who have extensive regional and international experience spanning capital market, private equity, venture capital, management consulting and entrepreneurship.",2013.0,Medium,11.0,34920.63492063492
Consultair,18,,Sharjah,"mep & hvac design & supervision, plumbing & drainage, low current, elv systems, hvac systems, fire fighting & fire alarm systems, mep & hvac design review & analysis",'+971 4 269 4404,"Gmail, Google Apps",1400000.0,"Consultair is a prominent MEP design firm specializing in HVAC and Electromechanical services for various complex facilities such as residential, commercial, educational, industrial, and medical establishments. The company's primary focus is to provide high-quality and cost-effective solutions for their clients, leveraging their extensive experience and hands-on knowledge in each project. With a legacy dating back to 1982, Consultair is the oldest Electro-Mechanical Company and the first to register in its category in the UAE. The company's reputation for delivering value engineering and advisory services has earned them a prominent position in the development of the UAE's MEP industry. Consultair's commitment to excellence and their contributions to the industry make them a reliable partner for clients seeking top-notch MEP design services.


Our Services:

01.  Mechanical system design and optimization 
02.  HVAC systems design 
03.  Electrical system design and energy efficiency analysis 
04.  Plumbing designs for domestic water supply and drainage system network 
05.  Energy management and energy conservation strategies 
06.  Building automation and controls 
07.  Indoor air quality and ventilation analysis 
08.  Life safety and code compliance assistance 
09.  Smoke control and management 
10.  Fire protection system with emergency exits lighting system 
11.  Telephone, Data, SMATV, Security, PA & LV Systems Network design",1982.0,Small,42.0,77777.77777777778
Resemble,56,information technology & services,Dubai,"cloud, analytics, mobility, social, security, workflow, sharepoint, lotus notes, endpoint, exchange, office 365, ibm verse, marketing automation, ecommerce, manageengine, veeam, nintex",'+971 4 396 4565,"Outlook, Google Cloud Hosting, Google Tag Manager, Mobile Friendly, LiveChat, Facebook Widget, Facebook Login (Connect), Apache, Facebook Comments, Disqus, Google Font API, Intercom, WordPress.org, Hotjar, Bootstrap Framework, Google Analytics, Vimeo, YouTube, reCAPTCHA",4231000.0,"Resemble Systems is an AI enabled Cloud Solution Provider offering Technology Consulting and Digital Services empowering organizations with user centric, flexible, scalable and secure technologies enabling Digital Transformation.

Resemble Systems operate locally in Saudi Arabia, UAE, Qatar, India, Singapore and USA, providing business value focused software solutions and professional IT services. We follow consultative approach in identifying customer's business challenges and map those challenges and pain points with a unique, cost effective and secure solution that ensures Business Value, Maximum ROI and Lower TCO.

Over 10 years, we have been also providing superior Infrastructure Management Services (IMS) and Application Development & Maintenance Services (ADM) for resolving the business challenges in various verticals and industries, serving both the local and international customers. Our associates are distinguished by their functional and technical expertise combined with their hands-on experience and technical certifications thereby ensuring that our customers receive the most effective, quality delivery and professional services on time.",2010.0,Medium,14.0,75553.57142857143
Aimstyle,17,design,Dubai,"branding, brand identity, brand strategy, brand communications, brand marketing, brand development, brand management, digital marketing, social media marketing, business consulting, website design, development, user experience design, uxui, franchise kit",'+971 56 768 4438,"Gmail, Google Apps, reCAPTCHA, Mobile Friendly, ASP.NET, Microsoft-IIS, Google Analytics, Facebook Custom Audiences, Google Tag Manager, Facebook Login (Connect), Facebook Widget, Content.ad, Google Font API, Basis, Remote, , AI",571000.0,"Aimstyle was founded in 2010 and has been offering you branding and online solutions ever since. 

We impact your business by helping you establish a well-defined brand using the right mechanism and tactics. We pride ourselves on not being your typical branding company; we have a sole vision of building a strong customer relationship by delivering quality and commitment.",2010.0,Small,14.0,33588.23529411765
Computer Care Group,59,electrical/electronic manufacturing,Dubai,"laptops, desktops, printers, tablets, servers, computer accessories, apple products, projectors, monitors",'+971 4 359 5010,"Cloudflare DNS, Rackspace MailGun, Gmail, Google Apps, Shopify Product Reviews, Media Temple SSL, Zoho SalesIQ, Mobile Friendly, Facebook Login (Connect), Google Dynamic Remarketing, Google Tag Manager, Facebook Widget, Google Analytics, Facebook Custom Audiences, DoubleClick, DoubleClick Conversion, WordPress.org, Shopify",2775000.0,"The Computer Care Group is a chain of leading IT retail showrooms in the UAE. Established in1998, Computer Care's outlets are the one stop shop for all your computer needs featuring an outstanding range of Multi branded Computers, Notebooks, LCDs, Branded PCs, Computer Accessories & Peripherals. Our staff has been trained in both technology as well as customer service to provide you with the best guidance in making your purchase decision.",1998.0,Medium,26.0,47033.898305084746
Orixcom,21,information technology & services,Dubai,"wan provider, public, network security, aws with sd wan, multifactor authentication, replication & disaster recovery as a service, network security as a service, sd wan, business continuity amp dr as a service, hosting, microsoft azure with sd wan, dedicated internet access, duo security, uaeix connect, office 365 with sd wan, colocation services, ip transit provider, iaas, it services, colocation, ip transit, data centre, ransomware protection, cloud security, mpls, private amp hybrid cloud, virtual point of presence, managed services, it security, cisco umbrella, email security, business continuity dr as a service, replication business continuity, global ethernet, private hybrid cloud, malware scan, private & hybrid cloud as a service, wan as a service, storage as a service, virtual pop, entreprise storage as a service, cybersecurity",'+971 4 424 9100,"Amazon SES, Outlook, Microsoft Office 365, CloudFlare Hosting, Segment.io, Microsoft Dynamics 365 Marketing, Atlassian Cloud, Hubspot, Linkedin Marketing Solutions, Mobile Friendly, LiveRamp, Linkedin Widget, DoubleClick, Linkedin Login, Facebook Widget, DoubleClick Conversion, Facebook Custom Audiences, Google Tag Manager, Facebook Login (Connect), Google Dynamic Remarketing, , Android, Circle, Remote",1700000.0,"Orixcom works with industry leading providers such as Cisco to provide comprehensive cloud deployed and delivered IT security solutions. Our flexible and opex based managed services are tailored to suit your individual business requirements and budgets, whilst complementing your scarce and expensive cyber security teams.

Our connectivity solutions provide the most secure and reliable connections between your IT resources, offices, clouds, staff and other locations anywhere in the world, using the latest technology to save money, deliver flexibility and improve network performance.",2013.0,Small,11.0,80952.38095238095
Child Early Intervention Medical Center,42,hospital & health care,Dubai,"aba services, speech & language therapy, vision therapy services, occupational therapy, psychological services, sensory integration therapy, social skills, feeding therapy, learning difficulties",'+971 4 423 3667,"MailChimp SPF, Shutterstock, Woo Commerce, Facebook Login (Connect), Mobile Friendly, Stripe, Facebook Custom Audiences, WordPress.org, reCAPTCHA, YouTube, Google Font API, Apache, Incapsula, Google Tag Manager, Sitelock, Facebook Widget, Remote",1739000.0,"At Child Early Intervention Medical Center, Dubai (CEIMC)  we offer comprehensive healthcare that focuses on all aspects of a child's development from birth to 18 years. We offer developmental and psychological assessments, therapy services, special needs support, and a variety of programs for children who require early intervention in learning or behavior. Our unique approach emphasizes individualized services for children and families that incorporate the importance of health and wellness, culture, family, language, community and how they contribute to a child's overall development. We are experts in the field of child development and offer parents, caregivers and professionals within our community the resources and tools they require for successful intervention. Working together, we can help our children become the very best they can be.


OUR MISSION

Our mission is to provide intervention services for children with learning, developmental, and behavioral challenges based on the most effective, research-based methods and to promote the inclusion of all children into mainstream schools.

OUR VISION

Our vision is to become the global leader in early intervention services.

OUR PROMISE

Child Early Intervention Medical Center, Dubai (CEIMC) is committed to supporting your child with his/her social, behavioral, communication and/or academic needs with our highly trained team and best researched methods and programs.",2008.0,Small,16.0,41404.76190476191
CariZMa FZ,10,professional training & coaching,Dubai,"call center, call centre, sales, customer service, leadership, certification, training, coaching, consulting",'+971 4 391 3669,"reCAPTCHA, Google Analytics, WordPress.org, Apache, IoT, Laravel, Flutter, Android, Circle, React Native, , Five9, Genesys, Talkdesk, Avaya",2400000.0,"CariZMa, launched in 2003 in Dubai, is a consulting and training company focused solely on Customer Interactions.  Our vision is to be the leading relationship innovation service provider in the MENA region, offering value-added consulting, and learning solutions, leveraging our primary assets of quality people, knowledge capital, and network of international partners.",2003.0,Small,21.0,240000.0
Business Experts Gulf,55,information technology & services,Dubai,"business consultancy, it consultancy, microsoft dynamics ax, microsoft crm, microsoft dynamics gp, microsoft dynamics nav, sharepoint, license microsoft dynamics & office 365, erp, license adobe & sql, hardware, cloud solution, microsoft business central, microsoft finance & operations, gcc localized payroll & hr",'+971 4 421 4909,"Outlook, Amazon AWS, Google Font API, Google Maps, Mobile Friendly, Google Places, YouTube, WordPress.org, Bootstrap Framework, reCAPTCHA, Google Tag Manager, Google Analytics, Android, SAP, SharePoint, Remote, AI",2702000.0,"Business Experts Gulf LLC is one of the leading and best service providers covering the Middle East area. We are one of the first Microsoft partners to achieve Microsoft Solutions Partner designation with specialization in Dynamics Industry and Business Solutions for 17 years with perfect proven Implementation Rate.
Skilled expertise with experience and understanding of different industries is considered as our greatest strength which we provide to our clients in a way that fits their individual business needs and demands.
Areas of Expertise:
• Microsoft Dynamics 365
• Microsoft Business Central
• Microsoft Finance and Operations
• Infrastructure & Design
• Microsoft Dynamics Implementation
• Microsoft Dynamics GP & RMS
• Microsoft Dynamics CRM
• GCC Localized HR & Payroll Solution + E-Self Service for Dynamics ERP
• Customized add- on Verticals for Dynamics ERP and CRM
• Cross- Platform Integration
• Complete Microsoft on Premises and Cloud Solutions
• Backup and Disaster Recovery
• End Point Security
• Email Archiving 
• Storage Servers",2006.0,Medium,18.0,49127.27272727273
Think Media Labs,13,management consulting,Dubai,"strategy & tactics, competitive benchmarking, digital marketing, lead generation, social media, community management, content generation, monitoring & analysis, media buying & management, skill building, devising customer support process, distribution channel execution, revision of past distribution efforts, ecommerce content support, ecommerce marketing support, funnel analysis & conversion rate optimization, retail crm & data, digital business transformation, talent recruitment & team building services, government consulting, business enablement programs",'+971 4 554 8160,"Gmail, Google Apps, Microsoft Office 365, Zendesk, Thinkific, Linkedin Marketing Solutions, Facebook Custom Audiences, Mobile Friendly, Facebook Login (Connect), Shutterstock, Google Tag Manager, Facebook Widget, Squarespace ECommerce, Typekit, Render, Remote, AI",3841000.0,"We specialize in helping businesses grow.
Our advisory services include customer acquisition strategies and execution, customer retention tactics, retail business activation and enhancement, team recruitment, and capacity-building workshops.

We also advise government organizations, corporate entities, and family businesses by bringing in the startup spirit and speed to build and execute programs that help them gain a competitive and innovative edge against competitors.

We have already helped more than 250 businesses grow.",2010.0,Small,14.0,295461.53846153844
Hlp Consulting,39,,Dubai,,,"Amazon CloudFront, Amazon AWS",1000000.0,"HLP Consulting offers claims preparation, dispute resolution, witness, contract and commercial management services to the construction industry.",2010.0,Small,14.0,25641.02564102564
Souqalmal.com,15,financial services,Dubai,"comparison site, financial services, personal finance, business news, insurance aggregator, financial literacy, car insurance, home insurance",'+971 4 448 3016,"Cloudflare DNS, Gmail, Google Apps, MailChimp SPF, CloudFlare Hosting, Route 53, Amazon AWS, Facebook Custom Audiences, Google Play, Facebook Widget, Facebook Login (Connect), WordPress.org, reCAPTCHA, Google Tag Manager, Mobile Friendly, Google Font API, AI",3908000.0,"Personal finance can be a topic that often overwhelms people - Think banking, insurance, saving, investing and just about anything to do with managing money. We at Souqalmal.com are working hard to make personal finance easier to grasp, more transparent and readily accessible for our users.

Souqalmal.com is changing the way you deal with money! Compare over 3,200 personal finance products in the UAE and Saudi Arabia on Souqalmal.com, at the click of a button - Personal loans, Home loans, Car loans, Credit cards, Bank accounts, Car insurance, Home insurance and more!

Visit Souqalmal.com to Compare and Save!",2012.0,Small,12.0,260533.33333333334
Arcs & Curves,15,marketing & advertising,Dubai,"website design & development, advertising, branding, logo design, brand identity development, digital marketing, inbound marketing strategy, ecommerce, mobile apps development, hubspot crm, marketing, sales software, inbound marketing",'+971 50 568 6980,"Gmail, Google Apps, Google Cloud Hosting, Hubspot, Facebook Login (Connect), YouTube, Google Font API, Google Maps, Facebook Custom Audiences, Mobile Friendly, Bootstrap Framework, Linkedin Widget, Nginx, Hotjar, Facebook Widget, Linkedin Login, Google Tag Manager, Google Analytics, SAP, , , Remote, Basis, AI",1400000.0,"We are new-age digital communications & creative design agency based in Dubai.

Being one of the few Hubspot™ Silver-Partner agencies in Dubai, and with their award-winning tools at our disposal, we help clients solve the most seemingly complicated marketing puzzles, rather simply. 

We are committed evangelists of the Inbound Methodology of digital marketing that has revolutionized marketing in the new world. 

Together with Hubspot™, we help businesses run better by leveraging their digital assets like websites, social media platforms, content and so on. 

With a group of in-house digital strategists, talented designers & art directors, we take pride in communicating your ideas through creative campaigns online.

Our specialities lie in developing amazing websites for our clients. By combining technology and design, we build outstanding digital experiences for all devices.

Thriving in a competitive city like Dubai, we're always on the lookout for innovative ways to market your brand and generate more leads for your business through with our wide range of digital solutions including Website Design & Development, Digital Marketing, Social Media, Inbound Marketing and more. 

At Arcs & Curves, our primary objective is to add value to your business through our creative output and to maximise your ROI. We could brag on about how good we are at that, but we'd rather let you decide for yourself after working with us.",2012.0,Small,12.0,93333.33333333333
Ansari Security,27,security & investigations,Dubai,"video security solutions, command & control room design & deployment, intelligent perimeter video security & intrusion detection systems, audio visual & automation systems, cctv security systems, smart home control systems, it infrastructure solutions",'+971 55 404 8020,"Cloudflare DNS, Gmail, Google Apps, CloudFlare Hosting, Mobile Friendly",4067000.0,"Ansari Security System is a leading systems integrator in UAE since 2005, in all these years the company successfully done projects in different industries including hospitality, production and warehousing, education, oil and gas, military and defense, government, royal palaces and corporate sector etc.  
Ansari has 3 specialized divisions of Security, Infrastructure and Audio visual for giving solutions like CCTV and IP Surveillance, Perimeter and intelligent outdoor surveillance, Access Control, Radar Operated Surveillance solutions, Structure Cabling, Home/office Automation, Public Address and General Audio (PAGA), Wireless communications and many more. Our Designed Solutions are recognized as one of the best values for all companies seeking state of the art product with a strong ROI.",2005.0,Small,19.0,150629.62962962964
PrimeXM,39,information technology & services,Dubai,"hosting, connectivity, risk management, mt4 white label, mt5 white label, liquidity aggregation, dedicated hosting, colocated hosting, connectivity as a service, mt4 bridge, mt5 gateway, fintech, financial technology providers, technology provider, forex, trading, platform, fx, financial, leading, provider, cross connect, tier1, prime, mt4, mt5, connect, liquidity, tier",'+44 20 3598 2586,"Route 53, Amazon SES, Rackspace MailGun, Gmail, Google Apps, MailChimp SPF, Zendesk, Amazon AWS, Hubspot, React Redux, Freshdesk, Linkedin Marketing Solutions, Mobile Friendly, Facebook Custom Audiences, Apache, WordPress.org, Facebook Widget, reCAPTCHA, Bootstrap Framework, YouTube, Google Tag Manager, Google Analytics, Google Font API, Facebook Login (Connect), Remote",2250000.0,"PrimeXM, a leading technology provider in the finance sector focusing on providing cutting-edge aggregation software, ultra low-latency connectivity, institutional grade hosting solutions and high-end MT4/MT5 bridging and white label solutions. 

At the core of our technology is the XCore, a sophisticated aggregation engine which supports complex and dynamic routing rules. The XCore is highly customisable and can be tailored to meet the needs of our clients, while it currently supports connectivity to over 120 industry-leading market makers and Tier-1 banks. 

PrimeXM also offers reliable hosting and connectivity solutions which can be tailored to meet the needs of our clients whether they are start-ups or larger financial entities. Our hosting and connectivity solutions are cost-effective, while clients can make any adjustments required, without delays, at any one of our datacentres in the US, the UK, Japan and China.

For clients looking to make the most of the MT4 and MT5 technology, we offer bridging technology and white label solutions. Our MT4 and MT5 bridge is a sophisticated, light-weight server side plugin which ensures consistent synchronisation between the MetaTrader platforms and the XCore. Our white label solutions combine our technology, hosting and administration services and are ideal for organisations looking to minimise operating costs. 

Our mission is to offer reliable technology to our clients that supports their vision and enables them to meet their goals.",2010.0,Small,14.0,57692.307692307695
