Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At, Annual Revenue ,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score
PLATINUM SHIPPING & LOGISTICS L.L.C.,PLATINUM SHIPPING & LOGISTICS L.L.C,Cold,,19,logistics & supply chain,abdullahshami97@gmail.com,http://www.platinum-shipping.com,http://www.linkedin.com/company/psldubai,https://www.facebook.com/PlatinumShippingUAE,https://twitter.com/psldubai,النخيل,Dubai,Dubai,United Arab Emirates,,"النخيل, Dubai, Dubai, United Arab Emirates","import, export air, sea, land, warehousing, logistics, customs clearance at all uae ports, project handling, marine insurance, industrial packing, removals",'+971 4 335 2970,PSL is the largest and fastest-growing logistics and transportation company in the UAE with 30 years of experience. It is the best destination in the world,"Blue Host, Google Cloud Hosting, WordPress.org, Google Font API, reCAPTCHA, Shutterstock, Mobile Friendly, Basis, Remote",,,,,4092000.00,,66dbffc01be2b000011d3e19,,"PLATINUM SHIPPING & LOGISTICS LLC is one of the leading freight forwarding Agency in the region offering full range of logistics business with the strong background and experience in the industry since 1994. PSL is fully geared up with the modern and professional approach to management techniques and excellent facility.

PSL has its own multinational network of carefully chosen agents worldwide, which ensure that all clients can avail of any kind of freight forwarding to and fro across the globe. 
	IMPORT/EXPORT – AIR, SEA & LAND
	WAREHOUSING & LOGISTICS
	CUSTOMS CLEARANCE AT ALL UAE PORTS
	INDUSTRIAL PACKING & REMOVALS
	TRANSPORTATION UAE & GCC COUNTRIES
	PROJECT HANDLING  & MARINE INSURANCE
	More about PSL  visit www.platinum-shipping.com",1994,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c842f0f56dfe00017e9f75/picture,,,,
Abjad Design,Abjad Design,Cold,,15,design,abdullahshami97@gmail.com,http://www.abjaddesign.com,http://www.linkedin.com/company/abjad-design,https://www.facebook.com/abjaddesign/,https://twitter.com/abjaddesign,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","logo, branding, publishing, packaging, illustration, websites, timebased, environmental graphics, product design, invitation design, arabic calligraphy & typography",'+971 4 282 3999,"Abjad Design is an interdisciplinary design studio based in Dubai. We at Abjad thrive on using design language as a tool of communication and expression, in which we work with various mediums that allow us to conceptualize and arrive at creative solutions that are unique to each challenge.","Outlook, Nginx, Hubspot, Google Maps, Google Font API, Mobile Friendly, Google Maps (Non Paid Users), Cloudinary, reCAPTCHA, Google Tag Manager, Vimeo, Basis",,,,,3806000.00,,66dbffc01be2b000011d3e3f,"2741, 7311","Abjad Design is a multidisciplinary design studio based in Dubai. We at Abjad focus on producing creative, conceptual and communicative design solutions. Paying attention to craft, detail, simplicity and functionality in design is part of our practice. Our work is mostly produced for clients in the arts, culture and fashion industries, as well as companies, be they start-ups, governmental or private.",2010,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66cb5a88ab54220001fea56c/picture,,,,
VAM Systems,VAM,Cold,,99,information technology & services,abdullahshami97@gmail.com,http://www.vamsystems.com,http://www.linkedin.com/company/vam-systems-inc-,https://facebook.com/pages/VAM-Systems-Inc/149423981797489,https://twitter.com/VAMSystems,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","cloud computing, amazon web services, mobile development, ios application development, android application development, security solutions premises security, information asset security, big data solutions, digital marketing solutions",'+1 888-438-8260,,"Outlook, GoDaddy Hosting, Hubspot, Data Analytics, React Native, Android, , Node.js, Basis, Python, , Flutter, Remote, AI",,,,,4420000.00,,66dbffc01be2b000011d3e85,7372,"VAM Systems is a Business Consulting,  Technology Solutions and Professional Services organization  working with major organizations in USA, UAE, Bahrain, India, Singapore and Australia.

Delivers leading edge information and communication  technology based business solutions to enable our clients to continuously stay ahead and achieve sustainable profit and consistent growth by leveraging new channels of customer engagement and service delivery as well as better and efficient employment of resources and processes with measurable parameters for performance. While our local presence assists us in better understanding of the local needs, our global presence assist us to offer solutions strengthened by experience in leading markets globally.",2005,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d2752d6e74bc000148312a/picture,,,,
Ras Al Khaimah Chamber of Commerce and Industry,Ras Al Khaimah Chamber of Commerce and Industry,Cold,,32,government administration,abdullahshami97@gmail.com,http://www.rakchamber.ae,http://www.linkedin.com/company/ras-al-khaimah-chamber-of-commerce-and-industry,https://facebook.com/RakChamber.ae,https://twitter.com/RAKCCI,,,,United Arab Emirates,,United Arab Emirates,,'+971 7 226 0112,,"Outlook, Microsoft Office 365, YouTube, Mobile Friendly, Google Analytics, reCAPTCHA, Google Tag Manager, Nginx, Remote, SAP, Paytm, AI",,,,,2563000.00,,66dbffc01be2b000011d3e89,8300,"Ras Al Khaimah Chamber of Commerce and Industry (RAKCCI), is one of the oldest chambers in UAE. It has been established in 1967 to cater to the needs of Ras AL Khaimah business community. RAKCCI has witnessed major developments in the last few years; as a sequel to the support of the visionary and able leadership. 
 Chamber objectives
Ras Al Khaimah Chamber of Commerce and Industry effectively links the public and the private sectors, and harmonically coordinates all concerns; to enable business smooth functioning and attaining set goals.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66db96f312202e00015c55d7/picture,,,,
Tambi Studios,Tambi Studios,Cold,,10,media production,abdullahshami97@gmail.com,http://www.tambistudios.com,http://www.linkedin.com/company/tambi-studios,https://facebook.com/TambiStudios,https://twitter.com/tambistudios,,,,United Arab Emirates,,United Arab Emirates,,,,,,,,,1275000.00,,66dbffc01be2b000011d3e8c,,State of the Art Film Production House.,,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/657ffab4860eca00010fa416/picture,,,,
Asas Capital,Asas Capital,Cold,,63,financial services,abdullahshami97@gmail.com,http://www.asascapital.com,http://www.linkedin.com/company/asas-capital,,,,Dubai,Dubai,United Arab Emirates,,"Dubai, Dubai, United Arab Emirates","asset management, private equity, advisory services",'+971 4 346 4700,,"Cloudflare DNS, Outlook, Google Cloud Hosting, Amazon AWS, Shutterstock, Google Font API, Nginx, Google Tag Manager, WordPress.org, Bootstrap Framework, Mobile Friendly, AI, Android, SharePoint",,,,,2200000.00,,66dbffc01be2b000011d3e98,,"Asas Capital Ltd is a Dubai Financial Services Authority (DFSA) regulated entity and registered under the Dubai International Financial Centre (DIFC) since 2009. 

Our aim is to build the most dynamic, reputable and high performing Asset Management Company in the GCC. 

Asas Capital is managed by a team of experienced professionals who have extensive regional and international experience spanning capital market, private equity, venture capital, management consulting and entrepreneurship.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66db45b74486a90001fa7556/picture,,,,
Consultair,Consultair,Cold,,18,,abdullahshami97@gmail.com,,http://www.linkedin.com/company/consultair,,,,Sharjah,Sharjah,United Arab Emirates,,"Sharjah, Sharjah, United Arab Emirates","mep & hvac design & supervision, plumbing & drainage, low current, elv systems, hvac systems, fire fighting & fire alarm systems, mep & hvac design review & analysis",'+971 4 269 4404,,"Gmail, Google Apps",,,,,1400000.00,,66dbffc01be2b000011d3e9b,,"Consultair is a prominent MEP design firm specializing in HVAC and Electromechanical services for various complex facilities such as residential, commercial, educational, industrial, and medical establishments. The company's primary focus is to provide high-quality and cost-effective solutions for their clients, leveraging their extensive experience and hands-on knowledge in each project. With a legacy dating back to 1982, Consultair is the oldest Electro-Mechanical Company and the first to register in its category in the UAE. The company's reputation for delivering value engineering and advisory services has earned them a prominent position in the development of the UAE's MEP industry. Consultair's commitment to excellence and their contributions to the industry make them a reliable partner for clients seeking top-notch MEP design services.


Our Services:

01.  Mechanical system design and optimization 
02.  HVAC systems design 
03.  Electrical system design and energy efficiency analysis 
04.  Plumbing designs for domestic water supply and drainage system network 
05.  Energy management and energy conservation strategies 
06.  Building automation and controls 
07.  Indoor air quality and ventilation analysis 
08.  Life safety and code compliance assistance 
09.  Smoke control and management 
10.  Fire protection system with emergency exits lighting system 
11.  Telephone, Data, SMATV, Security, PA & LV Systems Network design",1982,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d7e7ae9a4a2b000191e492/picture,,,,
Resemble Systems,Resemble,Cold,,56,information technology & services,abdullahshami97@gmail.com,http://www.resemblesystems.com,http://www.linkedin.com/company/resemblesystems,https://www.facebook.com/resemblesystems,https://twitter.com/resemblesystems,Umm Hurair Road,Dubai,Dubai,United Arab Emirates,,"Umm Hurair Road, Dubai, Dubai, United Arab Emirates","cloud, analytics, mobility, social, security, workflow, sharepoint, lotus notes, endpoint, exchange, office 365, ibm verse, marketing automation, ecommerce, manageengine, veeam, nintex",'+971 4 396 4565,"Reimagine your business with our digital transformation solutions. We help you digitize documents, digitalize content, automate workflows, and turn data into actionable insights.","Outlook, Google Cloud Hosting, Google Tag Manager, Mobile Friendly, LiveChat, Facebook Widget, Facebook Login (Connect), Apache, Facebook Comments, Disqus, Google Font API, Intercom, WordPress.org, Hotjar, Bootstrap Framework, Google Analytics, Vimeo, YouTube, reCAPTCHA",,,,,4231000.00,,66dbffc01be2b000011d3ea4,,"Resemble Systems is an AI enabled Cloud Solution Provider offering Technology Consulting and Digital Services empowering organizations with user centric, flexible, scalable and secure technologies enabling Digital Transformation.

Resemble Systems operate locally in Saudi Arabia, UAE, Qatar, India, Singapore and USA, providing business value focused software solutions and professional IT services. We follow consultative approach in identifying customer's business challenges and map those challenges and pain points with a unique, cost effective and secure solution that ensures Business Value, Maximum ROI and Lower TCO.

Over 10 years, we have been also providing superior Infrastructure Management Services (IMS) and Application Development & Maintenance Services (ADM) for resolving the business challenges in various verticals and industries, serving both the local and international customers. Our associates are distinguished by their functional and technical expertise combined with their hands-on experience and technical certifications thereby ensuring that our customers receive the most effective, quality delivery and professional services on time.",2010,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d7db69424e260001cb3227/picture,,,,
Aimstyle | Branding Agency,Aimstyle,Cold,,17,design,abdullahshami97@gmail.com,http://www.aimstyle.com,http://www.linkedin.com/company/aimstyle,https://www.facebook.com/aimstylegfx,https://twitter.com/aimstylegfx,شارع ملك سلمان بن عبدالعزيز آل سعود,Dubai,Dubai,United Arab Emirates,,"شارع ملك سلمان بن عبدالعزيز آل سعود, Dubai, Dubai, United Arab Emirates","branding, brand identity, brand strategy, brand communications, brand marketing, brand development, brand management, digital marketing, social media marketing, business consulting, website design, development, user experience design, uxui, franchise kit",'+971 56 768 4438,"Aimstyle is a branding agency in Dubai and Amman that helps you transform your brand into your ultimate success. Aimstyle delivers brand strategy, brand identity, brand communications and web design solutions for startups and SMEs","Gmail, Google Apps, reCAPTCHA, Mobile Friendly, ASP.NET, Microsoft-IIS, Google Analytics, Facebook Custom Audiences, Google Tag Manager, Facebook Login (Connect), Facebook Widget, Content.ad, Google Font API, Basis, Remote, , AI",,,,,571000.00,,66dbffc11be2b000011d3ee0,,"Aimstyle was founded in 2010 and has been offering you branding and online solutions ever since. 

We impact your business by helping you establish a well-defined brand using the right mechanism and tactics. We pride ourselves on not being your typical branding company; we have a sole vision of building a strong customer relationship by delivering quality and commitment.",2010,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c68a22ed14220001b37545/picture,,,,
Computer Care Group,Computer Care Group,Cold,,59,electrical/electronic manufacturing,abdullahshami97@gmail.com,http://www.computercaredubai.ae,http://www.linkedin.com/company/computer-care-group,https://facebook.com/pages/Computer-Care-UAE/156564874376942,https://twitter.com/compcareuae,شارع منخول,Dubai,Dubai,United Arab Emirates,,"شارع منخول, Dubai, Dubai, United Arab Emirates","laptops, desktops, printers, tablets, servers, computer accessories, apple products, projectors, monitors",'+971 4 359 5010,"The largest range of computer equipment including laptops, desktops, servers, RAM, hard disk drives and gaming machines. Partners with brands including HP, Lenovo, Samsung, Acer, Dell, Toshiba and more","Cloudflare DNS, Rackspace MailGun, Gmail, Google Apps, Shopify Product Reviews, Media Temple SSL, Zoho SalesIQ, Mobile Friendly, Facebook Login (Connect), Google Dynamic Remarketing, Google Tag Manager, Facebook Widget, Google Analytics, Facebook Custom Audiences, DoubleClick, DoubleClick Conversion, WordPress.org, Shopify",,,,,2775000.00,,66dbffc11be2b000011d3ee7,,"The Computer Care Group is a chain of leading IT retail showrooms in the UAE. Established in1998, Computer Care's outlets are the one stop shop for all your computer needs featuring an outstanding range of Multi branded Computers, Notebooks, LCDs, Branded PCs, Computer Accessories & Peripherals. Our staff has been trained in both technology as well as customer service to provide you with the best guidance in making your purchase decision.",1998,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66d8b9015244ee00011cfa4d/picture,,,,
